"Parlament","OGD Portal","OGD Parlamentsdaten","Parlamentsmitglieder","Parlamentsmitglieder - Link","Interessenbindung","Interessbindung - Link","Kommissionen","Kommissionen - Link","Kommissionzugehörigkeit","Kommissionzugehörigkeit - Link","Vorstösse","Vorstösse - Link","Geschäfte","Geschäfte - Link","Regierungsoutput","Regierungsoutput - Link","Medienmitteilung","Medienmitteilungen - Link","Abstimmungen (Parlament)","Abstimmungen (Parlament) - Link","Kontakt Parlamentsdienste","Content Management System","Kommentar"
"CH","https://opendata.swiss/",,"REST-API/RSS",,"REST-API/RSS",,"REST-API/RSS",,"REST-API/RSS",,"REST-API/RSS",,"REST-API/RSS",,,,,,,,,,
"BE","https://opendata.swiss/en/organization/kanton-bern-2",,"HTML","https://www.gr.be.ch/de/start/grosser-rat/mitglieder/mitgliedersuche.html","PDF","https://www.gr.be.ch/de/start/grosser-rat/mitglieder.html","HTML","https://www.gr.be.ch/de/start/grosser-rat/organisation/kommissionen.html","PDF","https://www.gr.be.ch/de/start/grosser-rat/organisation/kommissionen.html","HTML","https://www.gr.be.ch/de/start/geschaefte/nach-geschaeftsarten/parlamentarische-vorstoesse.html","HTML","https://www.gr.be.ch/de/start/geschaefte/nach-geschaeftsarten/parlamentarische-vorstoesse.html","PDF","https://www.rr.be.ch/de/start/beschluesse/beschluesse-unterlagen-nach-sitzungen/sitzungs-detail?guid=1c57cea8b22f411d86becae311cdab86","PDF","https://www.gr.be.ch/de/start/grosser-rat/aktuell.html","HTML","https://www.tagblatt.gr.be.ch/shareparl","Patrick Trees (gr-gc@be.ch)","https://www.kaio.fin.be.ch/de/start.html","Abstimmungsresultate in der Wortmeldung als Namensliste"
"AG","https://www.ag.ch/de/themen/datenportal",,"CSV/Excel","https://www.ag.ch/grossrat/grweb/de/164/Ratsmitglieder?ResetBreadCrumbs=T","HTML","https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117121","HTML","https://www.ag.ch/grossrat/grweb/de/163/Kommissionen?ResetBreadCrumbs=T","CSV/Excel","https://www.ag.ch/grossrat/grweb/de/193/Detail%20Kommission?KommissionId=284","HTML","https://www.ag.ch/grossrat/grweb/de/196/Gesch%C3%A4fte?ResetBreadCrumbs=T&ResetFilter=T","HTML","https://www.ag.ch/grossrat/grweb/de/196/Gesch%C3%A4fte?ResetBreadCrumbs=T&ResetFilter=T","Nicht Vorhanden","https://www.ag.ch/de/rr/gesamtregierungsrat","PDF","https://www.ag.ch/de/aktuell/medien/medienmitteilungen?; https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mandantIds=14870323-daf6-48ac-b1ff-ff1f472d724f","PDF","https://www.ag.ch/grossrat/grweb/de/171/Sitzungen%20GR?ResetBreadCrumbs=T; https://www.ag.ch/grossrat/grweb/de/195/Detail%20Gesch%C3%A4ft?ProzId=5847694","rahel.ommerli@grossrat.ag.ch",,"Interessenbindung ist in Profile Information Private Ämter"
"AR",,,"HTML","https://www.ar.ch/kantonsrat/mitglieder-des-kantonsrates/","HTML","https://www.ar.ch/kantonsrat/mitglieder-des-kantonsrates/mitglied/#?contact=effdbcefdd004d74b4ee53357c1337f1","HTML","https://www.ar.ch/kantonsrat/kommissionen/","HTML","https://www.ar.ch/kantonsrat/kommissionen/staendige-kommissionen-des-kantonsrates/","HTML","https://www.ar.ch/kantonsrat/geschaeftssuche/#dateFrom=20130601&dateTo=20230323&sorting=von_start/sort.descending&currentPage=2","HTML","https://www.ar.ch/kantonsrat/geschaeftssuche/#dateFrom=20130601&dateTo=20230323&sorting=von_start/sort.descending&currentPage=2","Nicht Vorhanden","https://www.ar.ch/regierungsrat/","HTML","https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/","PDF","https://www.ar.ch/kantonsrat/sitzungen/traktanden/#session=d4dcd63a534b492db977a750a3e3b8b1","sabrina.baumgartner@ar.ch","http://www.snowflake.ch/",
"AI",,,"HTML","https://www.ai.ch/politik/grosser-rat#mitglieder-1","Nicht Vorhanden",,"HTML","https://www.ai.ch/politik/grosser-rat/komissionen","HTML","https://www.ai.ch/politik/grosser-rat/komissionen/staatswirtschaftliche-kommission","Nicht Vorhanden",,"HTML","https://www.ai.ch/politik/grosser-rat/geschaefte-grosser-rat","HTML","https://www.ai.ch/politik/grosser-rat/geschaefte-grosser-rat","PDF","https://www.ai.ch/politik/grosser-rat/medienmitteilungen-grosser-rat",,,"markus.doerig@rk.ai.ch","http://www.4teamwork.ch/",
"BL",,,"HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/landratsmitglieder","HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/landratsmitglieder?i=https%3A//baselland.talus.ch/de/politik/cdws/person.php%3Fbgid%3D69b8c80617494847b2900ef46badf8d1%26gid%3D4a6e77fc2eb64c29864479e5d3c80fa0%26ggid%3D7e8394ffeb8d4ef4b2a49ee221efc51c","HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/gremien","HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/landratsmitglieder","HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/geschafte/geschaefte-ab-juli-2015","HTML","https://www.baselland.ch/politik-und-behorden/landrat-parlament/geschafte/geschaefte-ab-juli-2015","HTML","https://www.baselland.ch/politik-und-behorden/regierungsrat","HTML","https://www.baselland.ch/ftw-news-newslistingblock/news_listing","PDF","https://www.baselland.ch/politik-und-behorden/landrat-parlament/sitzungen/traktandenlisten-und-protokolle-ab-november-2017","landeskanzlei@bl.ch","https://www.4teamwork.ch/",
"BS","https://www.opendata.bs.ch",,"HTML","https://grosserrat.bs.ch/mitglieder","PDF","https://grosserrat.bs.ch/images/dateien/Interessenbindungen/interessenbindungen_2022.pdf","HTML","https://grosserrat.bs.ch/gremien/sachkommissionen","HTML","https://grosserrat.bs.ch/images/dateien/broschuere/kommissionen_zusammensetzung_20230315.pdf","HTML","https://grosserrat.bs.ch/ratsbetrieb/neue-vorstoesse","HTML","https://grosserrat.bs.ch/ratsbetrieb/neue-berichte-und-schreiben","HTML","https://www.regierungsrat.bs.ch/geschaefte.html","HTML","https://www.regierungsrat.bs.ch/-medienmitteilungen.html","CSV/Excel","https://data.bs.ch/explore/dataset/100186/table/?disjunctive.traktandum&disjunctive.subtraktandum&disjunctive.geschaeft&disjunctive.abst_nr&disjunctive.typ&disjunctive.sitz_nr&disjunctive.mitglied_name&disjunctive.fraktion&disjunctive.mitglied_name_fraktion&disjunctive.entscheid_mitglied&sort=zeitstempel_text","beat.flury@bs.ch","http://www.lab5.ch/",
"FR","https://opendata.swiss/de/organization/kanton_freiburg",,"HTML","https://www.parlinfo.fr.ch/de/mitglieder/behoerdenmitglieder/","HTML",,"HTML","https://www.parlinfo.fr.ch/de/organisation/kommissionen/staendigefach/","HTML",,"HTML","https://www.parlinfo.fr.ch/de/politbusiness/parlamentvorstoesse/","HTML","https://www.parlinfo.fr.ch/de/politbusiness/","Nicht Vorhanden",,"HTML","https://www.fr.ch/de/staat-und-recht/transparenz-und-datenschutz/medienmitteilungen","PDF","https://www.fr.ch/de/staat-und-recht/parlament/amtliches-tagblatt-der-sitzungen-des-grossen-rates-tgr","mireille.hayoz@fr.ch","https://8ratio.ch/en/","Interessenbindung ist auf HTML-Seite der Mitglieder / Abstimmungen im Tagesprotokoll der Sitzungen aufgeführt"
"GE","https://opendata.swiss/en/organization/canton-geneve/?groups=population",,"HTML","https://ge.ch/grandconseil/gc/deputes/partis/plr","HTML",,"HTML","https://ge.ch/grandconseil/gc/commissions/","HTML","https://ge.ch/grandconseil/gc/commissions/","HTML","https://ge.ch/grandconseil/memorial/recherche/","HTML","https://ge.ch/grandconseil/memorial/recherche/","HTML","https://www.ge.ch/publication?type=460&organisation=497","REST-API/RSS","https://www.ge.ch/publication","HTML","https://ge.ch/grandconseil/sessions/seances/2023/020510",,,"Interessenbindung ist auf HTML-Seite der Mitglieder"
"GL","https://opendata.swiss/de/organization/kanton-glarus",,"HTML","https://www.gl.ch/parlament/landrat/mitglieder-des-landrates-20222026.html/234","PDF","https://www.gl.ch/public/upload/assets/47547/230315%20Interessenbindungen.pdf?fp=1","HTML","https://www.gl.ch/parlament/landrat/landraetlichekommissionen-20222026.html/237","HTML","https://www.gl.ch/parlament/landrat/landraetlichekommissionen-20222026.html/237","HTML","https://www.gl.ch/parlament/landrat/geschaefte/vorstoesse.html/248","HTML","https://www.gl.ch/parlament/landrat/geschaefte.html/249","PDF","https://www.gl.ch/regierung/taetigkeitsberichte.html/263","HTML","https://www.gl.ch/public-newsroom.html/30#main","Nicht Vorhanden",,,"https://www.backslash.ch/",
